reaction_id,systems,coefficients,product_charge,product_spin,ref_value,eigenvalue_size,density_sensitive,swarm_s_value,original_ref_value
1,"['B_T', 'B_G']","[-1, 1]",0,1,0.598,14,False,0.0418,0.598
2,"['P_TT', 'P_TG']","[-1, 1]",0,1,0.614,17,False,0.0521,0.614
3,"['P_TT', 'P_GG']","[-1, 1]",0,1,0.961,17,False,0.0919,0.961
4,"['P_TT', 'P_GX']","[-1, 1]",0,1,2.813,17,False,0.1099,2.813
5,"['H_ttt', 'H_gtt']","[-1, 1]",0,1,0.595,20,False,0.055,0.595
6,"['H_ttt', 'H_tgt']","[-1, 1]",0,1,0.604,20,False,0.0661,0.604
7,"['H_ttt', 'H_tgg']","[-1, 1]",0,1,0.934,20,False,0.1088,0.934
8,"['H_ttt', 'H_gtg']","[-1, 1]",0,1,1.178,20,False,0.0997,1.178
9,"['H_ttt', 'H_g+t+g-']","[-1, 1]",0,1,1.302,20,False,0.1167,1.302
10,"['H_ttt', 'H_ggg']","[-1, 1]",0,1,1.25,20,False,0.1564,1.25
11,"['H_ttt', 'H_g+x-t+']","[-1, 1]",0,1,2.632,20,False,0.1272,2.632
12,"['H_ttt', 'H_t+g+x-']","[-1, 1]",0,1,2.74,20,False,0.1338,2.74
13,"['H_ttt', 'H_g+x-g-']","[-1, 1]",0,1,3.283,20,False,0.1817,3.283
14,"['H_ttt', 'H_x+g-g-']","[-1, 1]",0,1,3.083,20,False,0.1948,3.083
15,"['H_ttt', 'H_x+g-x+']","[-1, 1]",0,1,4.925,20,False,0.2223,4.925
