Set,Samples,Sensitive,Not_Sensitive,Accuracy,Precision,Recall,F1_Score,TN,FP,FN,TP,Minority_Percentage,Minority_Class
G2RC,25,12,13,0.64,0.5789473684210527,0.9166666666666666,0.7096774193548387,5,8,1,11,48.0,Sensitive
HEAVYSB11,11,6,5,0.8181818181818182,1.0,0.6666666666666666,0.8,5,0,2,4,45.45454545454545,Not Sensitive
ISOL24,24,10,14,0.6666666666666666,1.0,0.2,0.3333333333333333,14,0,8,2,41.66666666666667,Sensitive
TAUT15,15,6,9,0.8,0.7142857142857143,0.8333333333333334,0.7692307692307693,7,2,1,5,40.0,Sensitive
DC13,13,8,5,0.7692307692307693,0.7272727272727273,1.0,0.8421052631578947,2,3,0,8,38.46153846153847,Not Sensitive
RSE43,43,27,16,0.7674418604651163,0.7741935483870968,0.8888888888888888,0.8275862068965517,9,7,3,24,37.2093023255814,Not Sensitive
NBPRC,12,4,8,0.5,0.3333333333333333,0.5,0.4,4,4,2,2,33.33333333333333,Sensitive
FH51,51,16,35,0.8823529411764706,0.8571428571428571,0.75,0.8,33,2,4,12,31.372549019607842,Sensitive
HAL59,59,16,43,0.864406779661017,0.6666666666666666,1.0,0.8,35,8,0,16,27.11864406779661,Sensitive
SIE4x4,16,12,4,1.0,1.0,1.0,1.0,4,0,0,12,25.0,Not Sensitive
G21EA,25,6,19,0.8,0.5714285714285714,0.6666666666666666,0.6153846153846154,16,3,2,4,24.0,Sensitive
BH76RC,30,7,23,0.2333333333333333,0.2333333333333333,1.0,0.3783783783783784,0,23,0,7,23.333333333333332,Sensitive
DIPCS10,10,2,8,0.7,0.4,1.0,0.5714285714285714,5,3,0,2,20.0,Sensitive
BHDIV10,10,8,2,0.7,1.0,0.625,0.7692307692307693,2,0,3,5,20.0,Not Sensitive
G21IP,36,7,29,0.8888888888888888,0.6363636363636364,1.0,0.7777777777777778,25,4,0,7,19.444444444444446,Sensitive
AL2X6,6,1,5,1.0,1.0,1.0,1.0,5,0,0,1,16.666666666666664,Sensitive
IDISP,6,1,5,1.0,1.0,1.0,1.0,5,0,0,1,16.666666666666664,Sensitive
BHPERI,26,4,22,0.7307692307692307,0.3333333333333333,0.75,0.4615384615384615,16,6,1,3,15.384615384615385,Sensitive
W4-11,140,119,21,0.85,0.85,1.0,0.918918918918919,0,21,0,119,15.0,Not Sensitive
PNICO23,23,3,20,0.8695652173913043,0.5,1.0,0.6666666666666666,17,3,0,3,13.043478260869565,Sensitive
ALK8,8,1,7,0.75,0.3333333333333333,1.0,0.5,5,2,0,1,12.5,Sensitive
IL16,16,2,14,0.875,0.5,1.0,0.6666666666666666,12,2,0,2,12.5,Sensitive
YBDE18,18,16,2,0.7222222222222222,0.8666666666666667,0.8125,0.8387096774193549,0,2,3,13,11.11111111111111,Not Sensitive
