Set,Samples,Sensitive,Not_Sensitive,Accuracy,Precision,Recall,F1_Score,TN,FP,FN,TP
ACONF,15,0,15,1.0,0.0,0.0,0.0,15,0,0,0
UPU23,23,0,23,1.0,0.0,0.0,0.0,23,0,0,0
PCONF21,18,0,18,1.0,0.0,0.0,0.0,18,0,0,0
MCONF,51,0,51,1.0,0.0,0.0,0.0,51,0,0,0
IDISP,6,1,5,1.0,1.0,1.0,1.0,5,0,0,1
SCONF,17,1,16,1.0,1.0,1.0,1.0,16,0,0,1
C60ISO,9,9,0,1.0,1.0,1.0,1.0,0,0,0,9
BUT14DIOL,64,0,64,1.0,0.0,0.0,0.0,64,0,0,0
BSR36,36,0,36,1.0,0.0,0.0,0.0,36,0,0,0
SIE4x4,16,12,4,1.0,1.0,1.0,1.0,4,0,0,12
Amino20x4,80,0,80,1.0,0.0,0.0,0.0,80,0,0,0
AL2X6,6,1,5,1.0,1.0,1.0,1.0,5,0,0,1
MB16-43,43,41,2,0.9767441860465116,0.9761904761904762,1.0,0.9879518072289156,1,1,0,41
BH76,76,71,5,0.9605263157894737,0.9594594594594594,1.0,0.9793103448275862,2,3,0,71
WCPT18,18,17,1,0.9444444444444444,0.9444444444444444,1.0,0.9714285714285714,0,1,0,17
DARC,14,0,14,0.9285714285714286,0.0,0.0,0.0,13,1,0,0
RC21,21,19,2,0.9047619047619048,0.9047619047619048,1.0,0.95,0,2,0,19
ALKBDE10,10,9,1,0.9,0.9,1.0,0.9473684210526315,0,1,0,9
G21IP,36,7,29,0.8888888888888888,0.6363636363636364,1.0,0.7777777777777778,25,4,0,7
FH51,51,16,35,0.8823529411764706,0.8571428571428571,0.75,0.8,33,2,4,12
IL16,16,2,14,0.875,0.5,1.0,0.6666666666666666,12,2,0,2
PNICO23,23,3,20,0.8695652173913043,0.5,1.0,0.6666666666666666,17,3,0,3
HAL59,59,16,43,0.864406779661017,0.6666666666666666,1.0,0.8,35,8,0,16
W4-11,140,119,21,0.85,0.85,1.0,0.918918918918919,0,21,0,119
CDIE20,20,0,20,0.85,0.0,0.0,0.0,17,3,0,0
PX13,13,13,0,0.8461538461538461,1.0,0.8461538461538461,0.9166666666666666,0,0,2,11
INV24,24,2,22,0.8333333333333334,0.3333333333333333,1.0,0.5,18,4,0,2
CHB6,6,0,6,0.8333333333333334,0.0,0.0,0.0,5,1,0,0
ADIM6,6,0,6,0.8333333333333334,0.0,0.0,0.0,5,1,0,0
HEAVYSB11,11,6,5,0.8181818181818182,1.0,0.6666666666666666,0.8,5,0,2,4
S66,66,1,65,0.8181818181818182,0.07692307692307693,1.0,0.14285714285714285,53,12,0,1
PArel,20,2,18,0.8,0.3333333333333333,1.0,0.5,14,4,0,2
TAUT15,15,6,9,0.8,0.7142857142857143,0.8333333333333334,0.7692307692307693,7,2,1,5
G21EA,25,6,19,0.8,0.5714285714285714,0.6666666666666666,0.6153846153846154,16,3,2,4
BHROT27,27,0,27,0.7777777777777778,0.0,0.0,0.0,21,6,0,0
DC13,13,8,5,0.7692307692307693,0.7272727272727273,1.0,0.8421052631578947,2,3,0,8
RSE43,43,27,16,0.7674418604651163,0.7741935483870968,0.8888888888888888,0.8275862068965517,9,7,3,24
ALK8,8,1,7,0.75,0.3333333333333333,1.0,0.5,5,2,0,1
BHPERI,26,4,22,0.7307692307692307,0.3333333333333333,0.75,0.46153846153846156,16,6,1,3
S22,22,1,21,0.7272727272727273,0.0,0.0,0.0,16,5,1,0
YBDE18,18,16,2,0.7222222222222222,0.8666666666666667,0.8125,0.8387096774193549,0,2,3,13
DIPCS10,10,2,8,0.7,0.4,1.0,0.5714285714285714,5,3,0,2
BHDIV10,10,8,2,0.7,1.0,0.625,0.7692307692307693,2,0,3,5
ISOL24,24,10,14,0.6666666666666666,1.0,0.2,0.3333333333333333,14,0,8,2
ICONF,17,0,17,0.6470588235294118,0.0,0.0,0.0,11,6,0,0
HEAVY28,28,0,28,0.6428571428571429,0.0,0.0,0.0,18,10,0,0
G2RC,25,12,13,0.64,0.5789473684210527,0.9166666666666666,0.7096774193548387,5,8,1,11
ISO34,34,3,31,0.5294117647058824,0.15789473684210525,1.0,0.2727272727272727,15,16,0,3
NBPRC,12,4,8,0.5,0.3333333333333333,0.5,0.4,4,4,2,2
CARBHB12,12,0,12,0.5,0.0,0.0,0.0,6,6,0,0
AHB21,21,0,21,0.23809523809523808,0.0,0.0,0.0,5,16,0,0
BH76RC,30,7,23,0.23333333333333334,0.23333333333333334,1.0,0.3783783783783784,0,23,0,7
RG18,18,0,18,0.05555555555555555,0.0,0.0,0.0,1,17,0,0
